date	survey_number	season	habitat	Species	species_code	photoID	bill_length_mm	wing_length_mm	tarsus_length_mm	body_length_mm	position_quality	bird_species	photoID	corr_bill_length_mm	corr_wing_length_mm	corr_tarsus_length_mm	corr_body_length_mm
21-9-24	5	spring	native	Furnarius_rufus	furruf	_MG_0638	16.4	95.0	NA	208.1	media	furruf	_MG_0638	16.5	95.3	NA	208.8
9-10-24	6	spring	native	Guira_guira	guigui	_MG_0823	22.4	111.0	NA	344.7	baja	guigui	_MG_0823	22.4	111.3	NA	345.8
9-10-24	6	spring	native	Serpophaga_subcristata	sersub	_MG_0826	6.7	54.6	14.8	129.4	media	sersub	_MG_0826	6.7	54.8	14.9	129.8
9-10-24	6	spring	native	Zonotrichia_capensis	zoncap	_MG_0831	8.3	60.3	NA	144.4	media	zoncap	_MG_0831	8.3	60.5	NA	144.9
9-10-24	6	spring	native	Polioptila_dumicola	poldum	_MG_0833	8.7	63.8	18.0	152.2	media	poldum	_MG_0828	8.7	64.0	18.1	152.7
9-10-24	6	spring	native	Polioptila_dumicola	poldum	_MG_0848	7.2	43.0	NA	100.9	media	poldum	_MG_0848	7.2	43.2	NA	101.2
9-10-24	6	spring	native	Troglodytes_aedon	troaed	_MG_0850	9.4	57.3	17.8	123.9	media	troaed	_MG_0850	9.4	57.5	17.9	124.3
9-10-24	6	spring	native	Suiriri_suiriri	suisui	_MG_0859	7.1	52.0	NA	122.9	media	suisui	_MG_0859	7.1	52.2	NA	123.3
9-10-24	6	spring	native	Myiopsitta_monachus	myimon	_MG_0863	18.9	114.3	15.6	225.9	media	myimon	_MG_0863	18.9	114.7	15.6	226.6
9-10-24	6	spring	native	Paroaria_coronata	parcor	_MG_0872	12.3	83.9	NA	208.1	media	parcor	_MG_0872	12.4	84.2	NA	208.8
9-10-24	6	spring	native	Zonotrichia_capensis	zoncap	_MG_0880	9.7	68.9	21.0	162.3	alta	zoncap	_MG_0880	9.8	69.1	21.1	162.9
9-10-24	6	spring	native	Pyrocephalus_rubinus	pyrrub	_MG_0883	7.3	57.8	NA	110.2	baja	pyrrub	_MG_0883	7.3	58.0	NA	110.5
9-10-24	6	spring	invaded	Basileuterus_culicivorus	bascul	_MG_0885	5.9	53.6	20.1	101.8	baja	bascul	_MG_0885	5.9	53.8	20.2	102.2
19-10-24	7	spring	invaded	Basileuterus_culicivorus	bascul	_MG_0886	2.9	22.8	NA	45.6	media	bascul	_MG_0886	2.9	22.8	NA	45.8
19-10-24	7	spring	invaded	Phylloscartes_ventralis	phyven	_MG_0896	3.8	34.2	NA	53.6	media	phyven	_MG_0896	3.8	34.4	NA	53.8
19-10-24	7	spring	invaded	Lepidocolaptes_angustirostris	lepang	_MG_0905	29.9	90.1	NA	200.1	alta	lepang	_MG_0905	30.0	90.3	NA	200.7
19-10-24	7	spring	invaded	Basileuterus_culicivorus	bascul	_MG_0906	4.3	28.9	8.8	66.2	alta	bascul	_MG_0906	4.3	29.0	8.8	66.4
19-10-24	7	spring	invaded	Leucochloris_albicollis	leualb	_MG_0909	12.9	48.0	NA	84.9	baja	leualb	_MG_0909	12.9	48.2	NA	85.1
19-10-24	7	spring	invaded	Stephanophorus_diadematus	stedia	_MG_0919	6.8	45.8	9.1	120.3	media	stedia	_MG_0919	6.8	46.0	9.1	120.7
19-10-24	7	spring	invaded	Turdus_rufiventris	turruf	_MG_0929	18.3	92.7	NA	NA	baja	turruf	_MG_0929	18.4	93.0	NA	NA
19-10-24	7	spring	invaded	Turdus_rufiventris	turruf	_MG_0953	15.6	61.3	NA	162.4	baja	turruf	_MG_0953	15.7	61.5	NA	162.9
26-10-24	8	spring	invaded	Leucochloris_albicollis	leualb	_MG_0954	17.1	41.1	NA	85.9	media	leualb	_MG_0954	17.1	41.2	NA	86.2
26-10-24	8	spring	invaded	Hylocharis_chrysura	hylchr	_MG_0958	13.4	39.3	NA	69.1	alta	hylchr	_MG_0958	13.4	39.4	NA	69.4
26-10-24	8	spring	invaded	Zonotrichia_capensis	zoncap	_MG_0968	7.7	34.0	NA	102.7	baja	zoncap	_MG_0968	7.8	34.1	NA	103.1
26-10-24	8	spring	invaded	Turdus_rufiventris	turruf	_MG_0970	15.3	86.2	36.3	205.1	media	turruf	_MG_0970	15.3	86.5	36.4	205.8
26-10-24	8	spring	invaded	Turdus_rufiventris	turruf	_MG_0971	14.0	96.0	NA	NA	baja	turruf	_MG_0971	14.1	96.3	NA	NA
26-10-24	8	spring	invaded	Basileuterus_culicivorus	bascul	_MG_0975	5.5	34.8	11.2	69.0	alta	bascul	_MG_0975	5.5	34.9	11.3	69.2
26-10-24	8	spring	invaded	Vireo_olivaceus	viroli	_MG_0979	7.4	51.9	NA	116.9	baja	viroli	_MG_0979	7.4	52.1	NA	117.3
26-10-24	8	spring	invaded	Elaenia_parvirostris	elapar	_MG_1003	6.2	39.5	NA	103.6	alta	elapar	_MG_1003	6.2	39.7	NA	103.9
26-10-24	8	spring	invaded	Saltator_similis	salsim	_MG_1006	14.8	87.9	18.8	209.4	alta	salsim	_MG_1006	14.9	88.2	18.8	210.1
9-11-24	9	spring	native	Chlorostilbon_lucidus	chlluc	_MG_1170	13.3	36.3	NA	75.8	media	chlluc	_MG_1170	13.4	36.4	NA	76.0
9-11-24	9	spring	native	Zonotrichia_capensis	zoncap	_MG_1172	19.2	NA	NA	128.3	baja	zoncap	_MG_1172	19.3	NA	NA	128.7
9-11-24	9	spring	native	Serpophaga_subcristata	sersub	_MG_1174	5.5	35.9	13.2	81.4	media	sersub	_MG_1174	5.5	36.0	13.2	81.6
9-11-24	9	spring	native	Zonotrichia_capensis	zoncap	_MG_1177	6.6	NA	10.3	129.2	media	zoncap	_MG_1177	6.6	NA	10.4	129.6
9-11-24	9	spring	native	Sicalis_luteola	siclut	_MG_1178	5.9	NA	NA	112.8	media	siclut	_MG_1178	6.0	NA	NA	113.2
9-11-24	9	spring	native	Serpophaga_subcristata	sersub	_MG_1180	3.7	NA	NA	91.9	baja	sersub	_MG_1180	3.7	NA	NA	92.2
9-11-24	9	spring	native	Geothlypis_aequinoctialis	geoaeq	_MG_1182	9.8	72.0	NA	NA	alta	geoaeq	_MG_1182	9.8	72.2	NA	NA
9-11-24	9	spring	native	Patagioenas_picazuro	patpic	_MG_1185	16.4	123.4	NA	NA	baja	patpic	_MG_1185	16.5	123.8	NA	NA
19-11-24	10	spring	native	Molothrus_rufoaxillaris	molruf	_MG_9972	12.2	NA	NA	NA	baja	molruf	_MG_9972	12.2	NA	NA	NA
19-11-24	10	spring	native	Parula_pitiayumi	parpit	_MG_9973	9.0	46.5	16.0	114.6	baja	parpit	_MG_9973	9.0	46.6	16.1	115.0
19-11-24	10	spring	native	Zonotrichia_capensis	zoncap	_MG_9975	8.8	NA	16.3	NA	baja	zoncap	_MG_9975	8.8	NA	16.4	NA
19-11-24	10	spring	native	Zenaida_auriculata	zenaur	_MG_9976	16.7	144.6	NA	276.6	media	zenaur	_MG_9976	16.7	145.1	NA	277.5
19-11-24	10	spring	native	Elaenia_parvirostris	elapar	_MG_9977	6.0	59.5	14.6	174.8	alta	elapar	_MG_9977	6.0	59.7	14.7	175.4
19-11-24	10	spring	native	Zonotrichia_capensis	zoncap	_MG_9980	4.9	NA	NA	112.1	media	zoncap	_MG_9980	4.9	NA	NA	112.4
19-11-24	10	spring	native	Zonotrichia_capensis	zoncap	_MG_9987	9.6	64.6	20.9	154.1	alta	zoncap	_MG_9987	9.7	64.8	21.0	154.5
19-11-24	10	spring	native	Guira_guira	guigui	_MG_9989	19.7	145.8	31.4	365.2	alta	guigui	_MG_9989	19.7	146.3	31.5	366.4
19-11-24	10	spring	native	Myiodynastes_maculatus	myimac	_MG_9990	16.1	75.1	NA	171.0	baja	myimac	_MG_9990	16.2	75.4	NA	171.6
19-11-24	10	spring	native	Furnarius_rufus	furruf	_MG_9996	NA	133.0	NA	NA	media	furruf	_MG_9996	NA	133.4	NA	NA
19-11-24	10	spring	native	Hylocharis_chrysura	hylchr	_MG_0006	22.0	56.1	4.2	116.4	alta	hylchr	_MG_0006	22.1	56.3	4.2	116.7
19-11-24	10	spring	native	Colaptes_melanochloros	colmel	_MG_0012	17.0	97.3	NA	227.3	media	colmel	_MG_0012	17.1	97.6	NA	228.1
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
